# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -5.181399 eV
#    Energy (eV)      DOS 
        -12.95860106          5.97845790
        -12.95660106          5.98646768
        -12.95460106          5.98764354
        -12.95260106          5.98206725
        -12.95060106          5.96985777
        -12.94860106          5.95116964
        -12.94660106          5.92619125
        -12.94460106          5.89514270
        -12.94260106          5.85827350
        -12.94060106          5.81586011
        -12.93860106          5.76820323
        -12.93660106          5.71562494
        -12.93460106          5.65846577
        -12.93260106          5.59708160
        -12.93060106          5.53184056
        -12.92860106          5.46311981
        -12.92660106          5.39130239
        -12.92460106          5.31677404
        -12.92260106          5.23992011
        -12.92060106          5.16112248
        -12.91860106          5.08075668
        -12.91660106          4.99918906
        -12.91460106          4.91677418
        -12.91260106          4.83385231
        -12.91060106          4.75074719
        -12.90860106          4.66776398
        -12.90660106          4.58518744
        -12.90460106          4.50328032
        -12.90260106          4.42228209
        -12.90060106          4.34240785
        -12.89860106          4.26384749
        -12.89660106          4.18676523
        -12.89460106          4.11129925
        -12.89260106          4.03756173
        -12.89060106          3.96563906
        -12.88860106          3.89559229
        -12.88660106          3.82745788
        -12.88460106          3.76124853
        -12.88260106          3.69695438
        -12.88060106          3.63454422
        -12.87860106          3.57396703
        -12.87660106          3.51515350
        -12.87460106          3.45801780
        -12.87260106          3.40245938
        -12.87060106          3.34836488
        -12.86860106          3.29561007
        -12.86660106          3.24406185
        -12.86460106          3.19358025
