# total density of states output by FHI-aims 
# The energy reference for this output is the chemical potential, mu =       -4.990770 eV
#    Energy (eV)      DOS 
        -13.79522998          0.00000000
        -13.79322998          0.00000000
        -13.79122998          0.00000000
        -13.78922998          0.00000000
        -13.78722998          0.00000000
        -13.78522998          0.00000000
        -13.78322998          0.00000000
        -13.78122998          0.00000000
        -13.77922998          0.00000000
        -13.77722998          0.00000000
        -13.77522998          0.00000000
        -13.77322998          0.00000000
        -13.77122998          0.00000000
        -13.76922998          0.00000000
        -13.76722998          0.00000000
        -13.76522998          0.00000000
        -13.76322998          0.00000000
        -13.76122998          0.00000000
        -13.75922998          0.00000000
        -13.75722998          0.00000000
        -13.75522998          0.00000000
        -13.75322998          0.00000000
        -13.75122998          0.00000000
        -13.74922998          0.00000000
        -13.74722998          0.00000000
        -13.74522998          0.00000000
        -13.74322998          0.00000000
        -13.74122998          0.00000000
        -13.73922998          0.00000000
        -13.73722998          0.00000000
        -13.73522998          0.00000000
        -13.73322998          0.00000000
        -13.73122998          0.00000000
        -13.72922998          0.00000000
        -13.72722998          0.00000000
        -13.72522998          0.00000000
        -13.72322998          0.00000000
        -13.72122998          0.00000000
        -13.71922998          0.00000000
        -13.71722998          0.00000000
        -13.71522998          0.00000000
        -13.71322998          0.00000000
        -13.71122998          0.00000000
        -13.70922998          0.00000000
        -13.70722998          0.00000000
        -13.70522998          0.00000000
        -13.70322998          0.00000000
        -13.70122998          0.00000000
        -13.69922998          0.00000000
        -13.69722998          0.00000000
        -13.69522998          0.00000000
        -13.69322998          0.00000000
        -13.69122998          0.00000000
        -13.68922998          0.00000000
        -13.68722998          0.00000000
        -13.68522998          0.00000000
        -13.68322998          0.00000000
        -13.68122998          0.00000000
        -13.67922998          0.00000000
        -13.67722998          0.00000000
        -13.67522998          0.00000000
        -13.67322998          0.00000000
        -13.67122998          0.00000000
        -13.66922998          0.00000000
        -13.66722998          0.00000000
        -13.66522998          0.00000000
        -13.66322998          0.00000000
        -13.66122998          0.00000000
        -13.65922998          0.00000000
        -13.65722998          0.00000001
        -13.65522998          0.00000001
        -13.65322998          0.00000001
        -13.65122998          0.00000001
        -13.64922998          0.00000002
        -13.64722998          0.00000002
        -13.64522998          0.00000003
        -13.64322998          0.00000003
        -13.64122998          0.00000004
        -13.63922998          0.00000005
        -13.63722998          0.00000007
        -13.63522998          0.00000009
        -13.63322998          0.00000011
        -13.63122998          0.00000013
        -13.62922998          0.00000017
        -13.62722998          0.00000021
        -13.62522998          0.00000027
        -13.62322998          0.00000033
        -13.62122998          0.00000041
        -13.61922998          0.00000051
        -13.61722998          0.00000064
        -13.61522998          0.00000079
        -13.61322998          0.00000098
        -13.61122998          0.00000122
        -13.60922998          0.00000150
        -13.60722998          0.00000185
        -13.60522998          0.00000228
        -13.60322998          0.00000280
        -13.60122998          0.00000344
        -13.59922998          0.00000421
        -13.59722998          0.00000515
        -13.59522998          0.00000629
        -13.59322998          0.00000767
        -13.59122998          0.00000933
        -13.58922998          0.00001134
        -13.58722998          0.00001376
        -13.58522998          0.00001667
        -13.58322998          0.00002017
        -13.58122998          0.00002436
        -13.57922998          0.00002937
        -13.57722998          0.00003535
        -13.57522998          0.00004249
        -13.57322998          0.00005098
